,FECHA,label,anio,fecha,perdidassuperficiales,Incendio
0,2001-01-01,Regular,2001,,0.0,No
1,2001-01-02,Muy desfavorable,2001,,0.0,No
2,2001-01-03,Desfavorable,2001,,0.0,No
3,2001-01-04,Desfavorable,2001,2001-01-04,14.900000000000002,Si
4,2001-01-05,Desfavorable,2001,2001-01-05,10.13,Si
5,2001-01-06,Razonablemente buena,2001,2001-01-06,10.13,Si
6,2001-01-07,Desfavorable,2001,,0.0,No
7,2001-01-08,Desfavorable,2001,,0.0,No
8,2001-01-09,Desfavorable,2001,,0.0,No
9,2001-01-10,Desfavorable,2001,,0.0,No
10,2001-01-11,Desfavorable,2001,,0.0,No
11,2001-01-12,Regular,2001,,0.0,No
12,2001-01-13,Desfavorable,2001,,0.0,No
13,2001-01-14,Desfavorable,2001,,0.0,No
14,2001-01-15,Desfavorable,2001,,0.0,No
15,2001-01-16,Desfavorable,2001,,0.0,No
16,2001-01-17,Desfavorable,2001,,0.0,No
17,2001-01-18,Desfavorable,2001,,0.0,No
18,2001-01-19,Desfavorable,2001,,0.0,No
19,2001-01-20,Desfavorable,2001,,0.0,No
20,2001-01-21,Desfavorable,2001,,0.0,No
21,2001-01-22,Muy desfavorable,2001,,0.0,No
22,2001-01-23,Muy desfavorable,2001,,0.0,No
23,2001-01-24,Desfavorable,2001,,0.0,No
24,2001-01-25,Desfavorable,2001,,0.0,No
25,2001-01-26,Desfavorable,2001,,0.0,No
26,2001-01-27,Desfavorable,2001,,0.0,No
27,2001-01-28,Regular,2001,2001-01-28,1.01,Si
28,2001-01-29,Desfavorable,2001,2001-01-29,5.65,Si
29,2001-01-30,Muy desfavorable,2001,,0.0,No
30,2001-01-31,Desfavorable,2001,2001-01-31,1.5,Si
31,2001-02-01,Desfavorable,2001,2001-02-01,1.0,Si
32,2001-02-02,Muy desfavorable,2001,,0.0,No
33,2001-02-03,Muy desfavorable,2001,,0.0,No
34,2001-02-04,Desfavorable,2001,,0.0,No
35,2001-02-05,Regular,2001,,0.0,No
36,2001-02-06,Desfavorable,2001,2001-02-06,1.54,Si
37,2001-02-07,Desfavorable,2001,2001-02-07,4.46,Si
38,2001-02-08,Desfavorable,2001,,0.0,No
39,2001-02-09,Desfavorable,2001,2001-02-09,3.14,Si
