,fecha,idprovincia,idmunicipio,perdidassuperficiales
0,2016-03-07,21,23,3.1
1,2016-01-22,18,193,0.34
2,2016-05-03,21,11,181.42
3,2016-05-04,21,11,181.42
4,2016-05-05,21,11,181.42
5,2016-01-27,18,116,0.41
6,2016-06-22,21,58,5.4
7,2016-06-23,21,58,5.4
8,2016-02-04,18,33,1.23
9,2016-01-16,21,50,0.5
10,2016-01-27,21,77,0.02
11,2016-03-02,21,1,0.16
12,2016-03-10,21,72,0.75
13,2016-03-29,21,23,0.05
14,2016-03-31,21,49,0.25
15,2016-04-01,21,62,0.03
16,2016-04-13,21,55,0.01
17,2016-05-04,21,5,0.8
18,2016-02-06,18,54,3.68
19,2016-02-07,18,54,3.68
20,2016-05-21,21,35,2.56
21,2016-06-07,21,62,0.09
22,2016-06-07,21,23,0.02
23,2016-06-08,21,23,0.02
24,2016-06-11,21,5,0.25
25,2016-06-14,21,46,0.06
26,2016-06-17,21,50,0.04
27,2016-06-13,21,64,0.2
28,2016-06-20,21,50,0.5
29,2016-02-07,18,147,134.22
30,2016-02-08,18,147,134.22
31,2016-02-07,18,20,0.13
32,2016-06-23,21,46,0.01
33,2016-06-25,21,52,0.1
34,2016-06-30,21,1,0.16
35,2016-07-11,21,53,0.9
36,2016-07-12,21,35,40.12
37,2016-07-13,21,35,40.12
38,2016-07-13,21,60,12.89
39,2016-07-14,21,60,12.89
40,2016-07-14,21,46,0.12
41,2016-07-13,21,2,0.26
42,2016-07-18,21,18,0.7
43,2016-07-18,21,21,0.15
44,2016-07-18,21,50,5.25
45,2016-07-19,21,50,5.25
46,2016-07-21,21,72,0.7
47,2016-07-25,21,49,0.2
48,2016-07-31,21,23,39.3
49,2016-08-01,21,23,39.3
50,2016-08-02,21,4,66.48
51,2016-08-03,21,4,66.48
52,2016-08-03,21,52,4.53
53,2016-08-05,21,52,0.01
54,2016-08-06,21,17,0.01
55,2016-08-06,21,5,0.1
56,2016-08-06,21,5,0.4
57,2016-08-07,21,5,0.4
58,2016-08-08,21,52,125.8
59,2016-08-09,21,52,125.8
60,2016-08-08,21,74,1.31
61,2016-08-09,21,40,0.03
62,2016-08-10,21,73,6.26
63,2016-08-11,21,77,0.6
64,2016-08-12,21,72,0.38
65,2016-08-12,21,21,6.03
66,2016-08-13,21,5,0.6
67,2016-08-14,21,77,0.63
68,2016-08-16,21,23,2.0
69,2016-08-18,21,49,0.01
70,2016-08-19,21,49,0.01
71,2016-08-19,21,49,0.01
72,2016-08-20,21,78,0.02
73,2016-08-21,21,78,0.02
74,2016-08-21,21,49,0.01
75,2016-08-21,21,21,6.62
76,2016-08-22,21,21,6.62
77,2016-08-22,21,5,1.39
78,2016-08-22,21,56,0.03
79,2016-08-24,21,37,31.79
80,2016-08-25,21,37,31.79
81,2016-08-26,21,40,0.22
82,2016-08-29,21,35,50.03
83,2016-08-29,21,23,0.75
84,2016-08-29,21,56,0.35
85,2016-09-01,21,54,0.8
86,2016-09-02,21,54,0.8
87,2016-09-02,21,13,0.7
88,2016-09-04,21,42,0.25
89,2016-09-05,21,21,0.1
90,2016-09-05,21,77,0.15
91,2016-09-07,21,25,0.15
92,2016-09-08,21,78,0.18
93,2016-09-09,21,10,0.01
94,2016-09-10,21,56,0.3
95,2016-09-11,21,46,0.4
96,2016-09-14,21,13,0.12
97,2016-09-14,21,35,0.41
98,2016-09-17,21,74,2.5
99,2016-09-18,21,6,0.01
100,2016-09-19,21,21,0.12
101,2016-09-23,21,33,0.37
102,2016-09-23,21,41,9.0
103,2016-09-27,21,35,0.03
104,2016-09-29,21,47,0.2
105,2016-09-29,21,50,0.5
106,2016-08-08,21,52,0.7
107,2016-09-29,21,13,0.2
108,2016-09-30,21,56,0.6
109,2016-09-30,21,35,0.3
110,2016-10-03,21,69,1.86
111,2016-10-04,21,54,0.15
112,2016-10-05,21,56,0.12
113,2016-10-05,21,54,0.17
114,2016-10-07,21,50,0.02
115,2016-10-07,21,74,0.98
116,2016-10-08,21,74,0.95
117,2016-10-09,21,73,8.9
118,2016-02-08,18,24,0.07
119,2016-02-03,23,5,0.03
120,2016-02-17,18,6,0.06
121,2016-02-19,18,194,0.17
122,2016-02-21,23,81,0.03
123,2016-02-24,23,44,0.23
124,2016-03-26,23,21,0.01
125,2016-02-24,18,904,0.41
126,2016-03-02,18,121,0.48
127,2016-03-02,18,20,0.2
128,2016-03-02,18,108,0.04
129,2016-03-04,18,147,0.6
130,2016-03-05,18,147,0.6
131,2016-03-08,18,150,0.01
132,2016-03-09,18,902,0.02
133,2016-03-10,18,903,0.01
134,2016-03-10,18,35,3.13
135,2016-03-11,18,35,3.13
136,2016-03-13,18,907,4.1
137,2016-03-13,18,150,0.3
138,2016-03-14,18,150,0.03
139,2016-03-31,23,905,2.2
140,2016-04-02,23,5,0.04
141,2016-04-07,23,5,0.09
142,2016-03-16,18,120,0.41
143,2016-03-17,18,120,0.41
144,2016-03-24,18,17,0.1
145,2016-03-25,18,17,0.1
146,2016-03-29,18,56,1.37
147,2016-03-30,18,56,1.37
148,2016-03-29,18,56,0.07
149,2016-03-30,18,163,0.13
150,2016-03-30,18,126,0.38
151,2016-03-26,18,108,0.01
152,2016-03-27,18,108,0.01
153,2016-03-28,18,108,0.01
154,2016-03-29,18,108,0.01
155,2016-03-30,18,108,0.01
156,2016-04-09,23,3,0.05
157,2016-04-11,23,904,0.01
158,2016-04-17,23,73,0.02
159,2016-04-18,23,73,0.02
160,2016-04-19,23,902,0.09
161,2016-04-26,23,44,0.07
162,2016-04-26,23,44,0.02
163,2016-04-27,23,65,0.13
164,2016-05-04,23,67,0.02
165,2016-05-04,23,28,0.3
166,2016-05-15,23,55,0.01
167,2016-05-26,23,3,0.03
168,2016-05-31,23,92,2.64
169,2016-06-03,23,3,0.65
170,2016-06-05,23,50,0.01
171,2016-06-08,23,92,0.35
172,2016-06-11,23,2,1.44
173,2016-06-13,23,21,0.05
174,2016-06-15,23,18,0.35
175,2016-06-15,23,33,0.22
176,2016-06-16,23,33,0.22
177,2016-02-29,18,184,1.8
178,2016-03-01,18,184,1.8
179,2016-01-15,29,64,0.14
180,2016-01-16,29,64,0.14
181,2016-01-19,29,67,0.02
182,2016-01-30,29,90,0.01
183,2016-02-09,29,51,0.02
184,2016-02-15,29,68,0.5
185,2016-06-18,23,94,2.26
186,2016-06-19,23,50,0.03
187,2016-06-20,23,53,0.06
188,2016-06-21,23,21,0.39
189,2016-02-22,29,75,0.01
190,2016-03-01,29,38,0.01
191,2016-03-02,29,67,0.31
192,2016-03-03,29,67,0.01
193,2016-03-05,29,2,0.01
194,2016-03-06,29,99,0.2
195,2016-03-06,29,19,0.2
196,2016-03-08,29,73,0.01
197,2016-03-09,29,44,0.01
198,2016-03-10,29,44,0.01
199,2016-03-10,29,31,1.1
200,2016-03-10,29,64,0.67
201,2016-03-11,29,64,0.67
202,2016-03-08,11,20,0.29
203,2016-03-17,11,33,0.01
204,2016-03-11,29,58,0.75
205,2016-03-15,29,94,0.01
206,2016-03-16,29,94,0.01
207,2016-03-15,29,64,0.02
208,2016-03-16,29,64,0.02
209,2016-03-17,29,19,0.68
210,2016-03-28,29,30,4.75
211,2016-03-29,29,30,4.75
212,2016-06-21,23,50,1.0
213,2016-06-21,23,24,0.63
214,2016-06-22,23,53,70.01
215,2016-06-22,23,50,0.36
216,2016-03-29,29,87,3.83
217,2016-03-30,29,87,3.83
218,2016-04-17,29,94,0.8
219,2016-05-03,29,67,0.58
220,2016-05-19,29,15,0.5
221,2016-05-20,29,15,0.5
222,2016-05-22,29,67,0.2
223,2016-06-23,23,5,0.1
224,2016-06-03,29,8,0.25
225,2016-06-09,29,87,10.76
226,2016-06-10,29,87,10.76
227,2016-06-10,29,80,0.2
228,2016-06-11,29,80,0.2
229,2016-04-19,14,36,0.01
230,2016-04-03,18,154,1.61
231,2016-06-11,29,80,0.06
232,2016-06-11,29,80,1.36
233,2016-06-12,29,80,1.36
234,2016-06-13,29,80,0.06
235,2016-04-02,18,107,0.08
236,2016-05-31,14,21,0.17
237,2016-06-09,14,55,0.04
238,2016-06-09,14,16,0.02
239,2016-04-09,18,93,0.31
240,2016-06-24,23,5,1.12
241,2016-06-28,23,55,0.36
